"","Site","Plot","Colony","Date","CD"
"214","West","B",5,2022-05-27,992401.074271444
"215","West","B",5,2022-08-22,879335.373552548
"216","West","B",6,2021-06-16,96276.7143630433
"217","West","B",6,2021-09-30,1364523.3953441
"218","West","B",6,2022-03-11,1093956.76901001
"219","West","B",6,2022-05-27,1439531.91921316
"220","West","B",6,2022-08-22,1430455.3568671
"221","West","B",7,2021-06-16,836021.485084875
"222","West","B",7,2021-09-30,1160257.72313738
"223","West","B",7,2022-03-11,1558090.74346477
"224","West","B",7,2022-05-27,1182137.55540231
"225","West","B",7,2022-08-22,1419380.39727582
"226","West","B",8,2021-06-16,93540.5566436045
"227","West","B",8,2021-09-30,785242.967303319
"228","West","B",8,2022-03-11,1051903.60718638
"229","West","B",8,2022-05-27,1005032.62689215
"230","West","B",8,2022-08-22,829308.836283732
"231","West","B",9,2021-06-16,25611.9181009408
"232","West","B",9,2021-09-30,237115.918723924
"233","West","B",9,2022-03-11,643062.383088087
"234","West","B",9,2022-05-27,962495.455153018
"235","West","B",9,2022-08-22,1034978.96582108
"236","West","B",10,2021-06-16,53183.5580242488
"237","West","B",10,2021-09-30,3248980.00435763
"238","West","B",10,2022-05-27,1031138.63618397
"239","West","B",10,2022-08-22,992723.188847354
