"","Site","Plot","Date","Colony","Verified","RED","REDsd","GRN","GRNsd","FSC","FSCsd","SSC","SSCsd","Year","Month","Day","meantemp","mintemp","maxtemp","range"
"54","East","B",2021-09-30,4,"Yes",3.7931229129602,0.274798160302955,2.02770330368163,0.449540446947888,2.88349080974675,0.43138907410876,3.26963035156416,0.457557070608367,2021,"09","30",29.89675,29.652,30.356,0.704000000000001
"55","East","B",2021-09-30,10,"Yes",3.80022693888086,0.271838911380669,2.03985867189758,0.441243996998097,2.86461091038612,0.456580789396248,3.32059271753046,0.439253948604878,2021,"09","30",29.89675,29.652,30.356,0.704000000000001
"56","East","B",2021-09-30,7,"Yes",3.79168845247148,0.279985872668054,1.91721877038445,0.400582211541548,2.87264030777355,0.428902800393134,3.23783253506548,0.406158668363185,2021,"09","30",29.89675,29.652,30.356,0.704000000000001
"57","East","B",2021-09-30,9,"Yes",3.76945453357806,0.261780350164798,2.02392095551717,0.394123879031273,2.87547706499676,0.417564569800457,3.22654572986396,0.402731123865046,2021,"09","30",29.89675,29.652,30.356,0.704000000000001
"58","East","B",2022-03-11,3,"Yes",3.73301874885321,0.242050209348831,2.14070379759174,0.508290370159897,2.83012945068807,0.491274479016301,3.34850270355505,0.519157636138266,2022,"03","11",28.2735520833333,28.06,28.754,0.694000000000003
"59","East","B",2022-03-11,2,"Yes",3.70650610596708,0.231016205650673,2.09775465843621,0.388136880639531,2.8300918127572,0.500921389788867,3.39524708436214,0.447250298933301,2022,"03","11",28.2735520833333,28.06,28.754,0.694000000000003
"60","East","B",2022-03-11,6,"Yes",3.76966231862378,0.189554853261404,2.05125114809274,0.279001538993951,2.81766856020942,0.465781171029371,3.25337417726253,0.376714861008377,2022,"03","11",28.2735520833333,28.06,28.754,0.694000000000003
"61","East","B",2022-03-11,4,"Yes",3.7767123592535,0.18270774717899,2.14526065007776,0.411543181732676,2.85844855132193,0.464820764816726,3.30934170062208,0.430855544549196,2022,"03","11",28.2735520833333,28.06,28.754,0.694000000000003
"62","East","B",2022-03-11,8,"Yes",3.72958394914347,0.202751852153515,2.23138447858672,0.420135894998394,2.85162151927195,0.477589500383459,3.30352837526767,0.440060578004354,2022,"03","11",28.2735520833333,28.06,28.754,0.694000000000003
"63","East","B",2022-03-11,1,"Yes",3.7610346,0.24077942509256,1.98681292484076,0.378717376513299,2.78276308280255,0.483930713960713,3.35806756050955,0.393042115293196,2022,"03","11",28.2735520833333,28.06,28.754,0.694000000000003
"64","East","B",2022-03-11,9,"Yes",3.66469936877076,0.234224061730535,2.18772328704319,0.371714927525099,2.85870513953488,0.505727102898453,3.38316014352159,0.415527803941454,2022,"03","11",28.2735520833333,28.06,28.754,0.694000000000003
"65","East","B",2022-03-11,7,"Yes",3.80315074206009,0.173375467291154,2.05628096266094,0.256598429661519,2.85747412961373,0.469080314343491,3.28134989399142,0.393378027239697,2022,"03","11",28.2735520833333,28.06,28.754,0.694000000000003
"66","East","B",2022-03-11,5,"Yes",3.70816612315789,0.222553612439351,2.20843018947368,0.412105089133912,2.81713822631579,0.496500915926111,3.46183564315789,0.47338981546854,2022,"03","11",28.2735520833333,28.06,28.754,0.694000000000003
"67","East","B",2022-03-11,10,"Yes",3.68829027034884,0.211686600272965,2.25956801889535,0.394977404872327,2.74704498837209,0.52633179782755,3.374984,0.465452848989685,2022,"03","11",28.2735520833333,28.06,28.754,0.694000000000003
"68","East","B",2022-05-27,2,"Yes",3.78800127850399,0.294183321333056,1.98518919135802,0.435013137104849,2.81080179920116,0.469124059370426,3.40075671023965,0.426228696739674,2022,"05","27",29.30028125,28.655,30.457,1.802
"69","East","B",2022-05-27,6,"Yes",3.7748601294401,0.368536291637051,1.85286573570138,0.400591256325533,2.78067964780253,0.47678905791817,3.30870192956051,0.377775728602276,2022,"05","27",29.30028125,28.655,30.457,1.802
"70","East","B",2022-05-27,1,"Yes",3.84668722064946,0.253246706333992,2.11309692131557,0.46049787425231,2.90055486969192,0.482203712170658,3.48171230183181,0.440371130871339,2022,"05","27",29.30028125,28.655,30.457,1.802
"71","East","B",2022-05-27,7,"Yes",3.8893406327464,0.295993052668611,1.89247739080723,0.386730844373629,2.79630428675966,0.472410803764967,3.47347353350103,0.388015558158378,2022,"05","27",29.30028125,28.655,30.457,1.802
"72","East","B",2022-05-27,5,"Yes",3.80495102598395,0.290966943935093,1.94412891937333,0.332972344423071,2.80606945510126,0.460623360353855,3.40160440580818,0.364666035009139,2022,"05","27",29.30028125,28.655,30.457,1.802
"73","East","B",2022-05-27,3,"Yes",3.80406586190372,0.323760239827348,2.00189448921804,0.479577977633907,2.83900716249183,0.484587455411271,3.35729650555435,0.45644568667376,2022,"05","27",29.30028125,28.655,30.457,1.802
"74","East","B",2022-05-27,4,"Yes",3.87127515041428,0.261523267229672,1.98811320458891,0.394252487875561,2.7753271612492,0.479170169727499,3.31781236647546,0.369011609719924,2022,"05","27",29.30028125,28.655,30.457,1.802
"75","East","B",2022-05-27,10,"Yes",3.86550682361734,0.311141801055062,2.0207471651719,0.398392765600867,2.77419576357748,0.47673019145105,3.38700157473842,0.410989999324238,2022,"05","27",29.30028125,28.655,30.457,1.802
"76","East","B",2022-05-27,9,"Yes",3.77448197913684,0.3441581306106,1.90056557782778,0.435752941687035,2.73827735385559,0.49150802977018,3.32496546983023,0.399697139829846,2022,"05","27",29.30028125,28.655,30.457,1.802
"77","East","B",2022-08-22,1,"Yes",3.83637596495683,0.336635554372021,1.93040607872016,0.408154862425078,2.84632612468258,0.494453121348359,3.47441057414931,0.404878265329034,2022,"08","22",29.7490520833333,28.953,30.558,1.605
"78","East","B",2022-08-22,3,"Yes",3.76025911755451,0.371801936126613,2.1194306945381,0.482221902575073,2.79686486895932,0.516746073582999,3.42270111103619,0.481008113294821,2022,"08","22",29.7490520833333,28.953,30.558,1.605
"79","East","B",2022-08-22,4,"Yes",3.82474704195366,0.329097712254311,1.95411302629931,0.470132761255157,2.74318798017115,0.496526932339839,3.37282414610728,0.518428074014516,2022,"08","22",29.7490520833333,28.953,30.558,1.605
